"category_name","universe","department","family","brand","product_nature","model_code","used_sizeguide_turnover","sizeguide_not_used_pageviews","sizeguide_not_used_order","sizeguide_not_used_quantity","sizeguide_not_used_turnover","sizeguide_not_used_return_quantity"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","WM BEG SSUIT","OLAIAN","SWIMMING COSTUME",8646487,"287.7000000000001","480",168,"185","848.1500000000005","100"
"CLOTHING","CLIMBING CANYON","CLIMBING MOUNTA","WINTER MTN CLTH","SIMOND","TROUSERS",8386811,"3469.4799999999977","227",337,"410","12938.069999999976","216"
"CLOTHING","CLIMBING CANYON","CLIMBING MOUNTA","WINTER MTN CLTH","SIMOND","PADDED JACKET",8649010,"1215.8","406",283,"290","6798.819999999986","172"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","MEN SKI B.LAYER","WEDZE","BASE LAYER",8548379,"5548.149999999991","252",558,"674","16254.579999999976","132"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","M SKI CLOT OCC","WEDZE","JACKET",8644194,"3749.499999999997","245",357,"597","32170.479999999992","143"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","W'S SWIMSUITS","NABAIJI","SWIMMING COSTUME",8788519,"658.6800000000006","392",808,"1323","4650.729999999989","396"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M PANTS/TS NH","QUECHUA","TROUSERS",968697,"4873.04999999999","249",1335,"1633","24863.970000000005","630"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","WOMAN TS LEGG","DOMYOS","LEGGINGS",8756188,"551.6000000000001","861",222,"229","1878.6000000000008","89"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","REG M COLD WTHR","KALENJI","TROUSERS",8551885,"2513.7499999999973","640",649,"741","11454.34999999996","176"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","OCC W BREATH T","KALENJI","LEGGINGS",8647031,"275.64000000000004","239",167,"189","1115.6100000000008","50"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","M'S SWIMSUITS","NABAIJI","SWIMMING TRUNKS",8575235,"355.66000000000014","232",111,"115","779.3000000000004","45"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","SUN PROTEC JR","OLAIAN","TOP",8611585,"1610.9400000000014","458",1772,"1966","11998.799999999968","444"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","W ESSENTIAL","DOMYOS","LEGGINGS",8738247,"3278.3599999999915","337",835,"885","12233.87999999994","273"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","W RUN COLD","KIPRUN","JACKET",8590356,"5428.669999999993","648",721,"808","21414.649999999998","272"
