"category_name","universe","department","family","brand","product_nature","model_code","used_sizeguide_pageviews","used_sizeguide_order","used_sizeguide_quantity","used_sizeguide_turnover","used_sizeguide_return_quantity"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","W SKI B.LAYER","WEDZE","BASE LAYER",8587503,"1158",1182,"1550","8467.889999999992","336"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MT OUTFIT","FORCLAZ","MIDLAYER",8608667,"1148",198,"217","8798.599999999991","76"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MT MERINOS","FORCLAZ","LONG-SLEEVED T-SHIRT",8608653,"1147",320,"372","10196.939999999984","66"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","W SUN PROTEC","OLAIAN","TOP",8789332,"1146",451,"508","5161.549999999984","163"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MT OUTFIT","FORCLAZ","TROUSERS",8501897,"1138",123,"144","4429.349999999995","77"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","PANT TS MH H","QUECHUA","TROUSERS",8549169,"1133",203,"271","2085.4100000000008","112"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MOUNT HIKE L3","QUECHUA","JACKET",8493469,"1132",675,"774","16755.809999999972","355"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","W ESSENTIAL","DOMYOS","SHORTS",8733482,"1131",988,"1184","8445.469999999974","331"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","W SKI B.LAYER","WEDZE","BASELAYER BOTTOM",8574727,"1129",543,"581","6199.659999999994","146"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W PANTS/TS NH","QUECHUA","TROUSERS",8588308,"1125",1355,"1605","13626.619999999948","667"
"CLOTHING","CYCLING UNIVERS","URBAN/FOLDING B","RAIN WEATH APP","BTWIN","OVERTROUSERS",8588098,"1120",235,"251","7123.409999999987","92"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","M SKI CLOT REG","WEDZE","JACKET",8545697,"1119",293,"331","16138.989999999976","130"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MOUNT HIKE L3","QUECHUA","JACKET",8678203,"1115",306,"362","13867.589999999973","120"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","W SKI CLOTH OCC","WEDZE","TROUSERS",8547082,"1111",180,"213","2659.2999999999993","143"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","AQUAGYM AQUABIK","NABAIJI","SWIMSUIT TOP",8601799,"1110",222,"258","1670.760000000001","134"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MT PADDEDJACK","FORCLAZ","PADDED JACKET",8573845,"1109",141,"149","2445.029999999999","51"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","MAN FR CLOTH SK","WEDZE","JACKET",8740179,"1108",367,"413","20237.749999999996","188"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","W SKI.CLO INT","WEDZE","DOWN JACKET",8581842,"1107",208,"230","12373.969999999988","127"
"CLOTHING","CYCLING UNIVERS","MTB BIKES AND E","M COOL COLD MTB","ROCKRIDER","TROUSERS",8530118,"1101",258,"287","10238.189999999979","105"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","OCC W BREATH T","KALENJI","LONG-SLEEVED T-SHIRT",8394778,"1101",420,"488","4592.619999999988","150"
