"category_name","universe","department","family","brand","product_nature","model_code","used_sizeguide_pageviews","used_sizeguide_order","used_sizeguide_quantity","used_sizeguide_turnover","used_sizeguide_return_quantity","sizeguide_not_used_pageviews","sizeguide_not_used_order","sizeguide_not_used_quantity","sizeguide_not_used_turnover","sizeguide_not_used_return_quantity"
"CLOTHING","HORSE RIDING UN","EQUESTRIAN SPOR","COMPETITION GEA","FOUGANZA","SHORT-SLEEVED POLO SHIRT",8485650,"17",7,"7","35.96","3","42",16,"15","79.9","5"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","W. COLLECTION","DOMYOS","TANK TOP",8774365,"17",5,"5","25.98","3","9",90,"92","670.4700000000003","39"
"CLOTHING","HIKING TREKKING","HIKING TREK GEA","SNOW HIKE SOCK","QUECHUA","SOCKS",8756314,"17",169,"176","2383.41","15","18",706,"744","10013.319999999994","73"
"CLOTHING","HUNTING AND SHO","HUNTING AND SHO","CAMO CLOTH D/W","SOLOGNAC","TROUSERS",8358874,"17",4,"4","68.97","1","41",11,"10","183.92","2"
"CLOTHING","HUNTING AND SHO","HUNTING AND SHO","WOMEN CLOTHS","SOLOGNAC","JACKET",8503845,"17",14,"15","364.92","7","11",52,"53","1439.67","20"
"CLOTHING","HUNTING AND SHO","HUNTING AND SHO","WATERFOWL CLOTH","SOLOGNAC","JACKET",8494129,"17",18,"19","484.87000000000006","6","48",94,"97","2740.239999999998","21"
"CLOTHING","CYCLING UNIVERS","KID CYCLING AND","JR MTB ROAD APP","BTWIN","SHORT-SLEEVE JERSEY",8606150,"17",17,"21","314.86000000000007","7","41",137,"143","2443.8899999999985","32"
"CLOTHING","FITNESS WELLNES","KIDS SPORTIVE E","TSHIRT SHORT GI","DOMYOS","T-SHIRT",8787302,"17",45,"43","191.68","11","11",482,"513","2356.9500000000003","108"
"CLOTHING","CYCLING UNIVERS","ROAD BIKE AND E","RD SOCKS SUMMER","VAN RYSEL","SOCKS",8616341,"17",32,"33","283.7100000000001","4","23",193,"226","1997.9600000000014","22"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","REG M COLD WTHR","KIPRUN","LONG-SLEEVED T-SHIRT",8677725,"17",11,"11","179.91","2","44",89,"109","1694.1700000000005","26"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","W RUN WARM WTHR","KIPRUN","TANK TOP",8604347,"17",12,"17","59.96","13","39",66,"62","344.7700000000001","39"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","M RUN WARM WTHR","KIPRUN","TROUSERS",8752132,"17",23,"25","449.85","10","52",106,"128","2489.169999999999","45"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","REG W COLD WTHR","KALENJI","TROUSERS",8750008,"17",16,"20","279.88000000000005","8","76",90,"93","1739.3200000000004","24"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","ADULT RUN SOCKS","KIPRUN","SOCKS",8826222,"17",14,"15","239.88","3","33",87,"90","1577.2100000000005","11"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","BB SLEDGE EQUIP","LUGIK","FLEECE",8758370,"17",44,"42","402.69000000000017","11","24",171,"178","1805.610000000001","38"
